SMILES
OC1(C2=CSC(CN3CCOCC3)=N2)CCN(CC2=CC=CC=C2)CC1
O
ClCI
S=[AsH]
O=[Ti]=O
[Cu]I
SS
I[Hg]
NN
C[Te]C
S=S
S=[Se]=S
[O]O
O=[Fe]
Cl[Cu]Cl
PP
O1OO1
C=[N+]=[N-]
OPO
Cl[223Ra]Cl
SCS
CPC
O=[Si]=O
Cl[Hg]Cl
O=[Te]=O
O=[Se]=O
[N]=O
NO
[C-]#[O+]
S[As]
N#N
C#C
BrBr
C=C
O=O
C[Hg+]
O[SiH3]
[K]Br
O=[Zn]
ClCl
S=[Hg]
C[As+](C)(C)C
OB(O)O
Cl[Sb](Cl)Cl
OCO
C[Se]C
C#N
O=[Mg]
OCl
CN
CBr
C=O
O[As](O)O
[O-][Br+2]([O-])O
[O-][I+2]([O-])O
Cl[111In](Cl)Cl
O=S=O
O[Sb](O)O
C[Si](C)(C)Cl
C1=CNC=C1
CC[C@@H]1CCC[C@H](C)C1
O1[Pb]O[Pb]12O[Pb]O2
CC1=NCCS1
O=C1OC=CO1
COC(=O)NNC(=O)OC
O=[Cr](=O)(O)O[Cr](=O)(=O)O
CC1=NN=C(C)O1
[2H]C([2H])([2H])C([2H])([2H])[2H]
[Ca]1[Ca][Ca][Zn][Ca]1
O=[Si](O)O[Si](O)(O)O[Si](=O)O
O=C(C(Cl)Cl)C(Br)Br
CN(C)C(=N)NC(=N)N
CC#CC#CC(C)=C=CC
CSCSS(=O)(=O)CSC
COP(N)(=O)SC
CC[Pb](CC)(CC)CC
CCOC(CO)(OCC)OCC
C=CCOS(=S)C=CC
N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
OC1=CC(Cl)=CC(Cl)=C1
COC1=NC(OC)=NC(OC)=N1
O=P(O)(O)OP(=O)(O)OP(=O)(O)O
S=C1C=CSS1
O=[Mn](=O)(=O)O
O=[V](O)O[V](=O)(O)O[V](=O)=O
N1=NNC(NC2=NN=NN2)=N1
CN(N)P(=S)(Cl)N(C)N
CC1(C)CNCCNCCNCCNC1
CC[Si]O[Si](C)(C)CC[Si]O[Si](C)(C)C
CN(C)C(=S)SC(=S)N(C)C
C[C@H]1CSSSS1
O=[Mo](=O)(O)O
N[Pt](N)(Cl)Cl
[Cu]12S34[Cu]5[Cu]13[Cu]254
CCCO[As](C)(C)=O
CC(=NOCCCl)C(C)=NOCCCl
CCCCP(=O)(O)CCCC
O=S(=O)(O)OOS(=O)(=O)O
CC(C)=CCCC(C)=CCCC(C)=CC=CC=C(C)CCC=C(C)CCC=C(C)C
CCC=NNC1=CC=CC=C1
C[N+]1=NSC(Cl)=C1
O=C(Cl)C1=COC=C1
CCOP(O)(=S)OCC
[N-]=[N+]=N[Fe]O[Fe]
O=P(Cl)(Cl)Cl
Br[IH][IH][IH]I
BrC1=CC=C(C2=CC(C3=CC=C(Br)C=C3)=CC(C3=CC=C(Br)C=C3)=C2)C=C1
S=C1NNC(=S)NN1
O=C1C=C1CO
NC(=O)N=NC(N)=O
CCCC[Se]C(=O)CCCC
CCCC[SnH](CCCC)CCCC
CC1=C(S)C=CS1
C1=CSC(=C2SC=CS2)S1
CC=CC1=CN=C(C)C=N1
C1=CP=PP=C1
CC(C)(CS(=O)(=O)O)N(Cl)Cl
[B]OOC(C)(OOCC)OOCC
CC[Si](Cl)(Cl)[Si](Cl)(CC)CC
CC=CC(N)=S
N[Co-3](N)(N)([NH3+])([NH3+])[NH3+]
O=S(O)S(=O)O
COC(=O)C(=O)C(=O)OC
CP(C)(=S)P(C)(C)=S
C=CCNC(SC)=C(C#N)C#N
CN1N(C)N2CCSSCCN12
C1=CC=C([B-](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1
C1=NN=CC2=C1C=NN2
CC(C)COC(=S)SCCSC(=S)OCC(C)C
CCCCCCC(Br)(Br)[C@H](O)C(Br)Br
O=NN(CCCl)C(=O)NCCCl
CCO[Si](C)(C)OCC
CN(C)P(C)(C)=O
CN(C)S(C)(=O)=O
C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
Cl[C@H]1[C@H](Cl)[C@@H](Cl)C(Cl)(Cl)C(Cl)(Cl)[C@@H]1Cl
C[N+](CO)(CO)CO
CC1=CC=CC=C1CC1=CC=CC=C1
O=CC(I)(I)I
O=C(Cl)SCl
N#CN[N+](=O)[O-]
CCCN1OCCO1
C=C[S@H+]([O-])C1=CC=CC=C1
CCCCSP(=O)(SCCCC)SCCCC
CCOC1=CN=CS1
CC1(C)SC(C)(C)SC(C)(C)S1
NC(=NCC(=O)O)NP(=O)(O)O
C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O
O=C1NC=C(I)C(=O)N1
CCCCNC1=NC(NC(C)(C)C)=NC(NC(C)(C)C)=N1
O=[Fe]O[Fe]O[Fe]=O
CCOC1C=CC(=O)N1
ClN(Cl)Cl
O=[Se](=O)(O)OSO
N1=NOO1
CC1=CC(O)=NO1
CCOB(OCC)[C@@H](N)CCCCN
